Lengua,Estado,Municipio,Localidad,HLI,Hombres,Mujeres,Latitud ,Longitud
amuzgo,Guerrero,Cuajinicuilapa,Rancho los Almendros,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Rancho los Limones,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Rancho Maurilio Torres B. (Lote Veinticuatro),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Rancho Melitón Cisneros Dos,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Rancho Óscar Sotelo,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Rancho Piedras Blancas,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Rancho San Carlos,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Rancho Santa Herma (Rancho Diógenes Justo H.),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,San Nicolás,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Tejas Crudas,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Cuajinicuilapa,Tierra Colorada,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Juchitán,Barrio Nuevo,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Juchitán,El Aguacate,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Juchitán,Juchitán,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Juchitán,La India (La India Calosa),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Juchitán,Los Callejones,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Juchitán,Rayito de Luna,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Juchitán,Vista Hermosa,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Marquelia,Barra de Tecoana,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Marquelia,La Guadalupe,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Marquelia,Marquelia,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Marquelia,Rancho Joel Chávez,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Marquelia,Tepantitlán ,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Marquelia,Zoyatlán,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Acatepec,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Arroyo Barranca Honda,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Arroyo Chachalaco,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Arroyo el Guate,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Arroyo Tecojochén,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Arroyo Zapote,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Arroyo Zopilote,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Barranca Atotonilco (Atotonilco),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Cañada de las Flores,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Cerro Grande,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Cerro Pájaro,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Cerro Piedra Negra,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Cochoapa,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Cruz de Corazón,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Cruz Verde II,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Cuadrilla de San Antonio,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Cuadrilla Nueva (Chilpancinguito),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Cumbre de Barranca Honda,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,El Capricho (La Poza),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,El Charco de la Puerta,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,El Cuije,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,El Limón,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,El Mango (El Mango Solo Sur),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,El Sepudo,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,El Tamarindo,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Finca Santander,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Huajintepec,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Huixtepec,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,La Catalina,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,La Concepción,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,La Cresta (Palma de Molina),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,La Guadalupe,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,La Ladrillera,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,La Libertad,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,La Mira,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,La Soledad,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Las Iguanas,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Las Palmas,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Las Vigas,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Los Pantanos,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Mango Norte (El Mango Solo Norte),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Mazapa,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Milpillas,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Ometepec,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Paso Cuahulote,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Paso del Tabaco,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Piedra Ancha,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Piedra Boluda,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Piedra Labrada,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Plan de Guacamaya,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Plan Juste,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Poza Verde,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Rancho Ángel Manuel Estrada Trani,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Rancho de Martha,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Rancho Edmundo Guillén de la Barrera,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Rancho el Paso del Toro,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Rancho Eloy Ortiz,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Rancho Eloy Vázquez,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Rancho Fidel Carmona,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Rancho Ismael Torres Añorve (El Maestro),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Rancho Juan José Jiménez,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Rancho la Esperanza (Rancho Ulises Estrada Vázquez),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Rancho los Barroso (La Cañada),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Rancho los Moreno,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Rancho los Salinas,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Rancho Mario Navarrete Gutiérrez,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Rancho Rafael Aburto (Los Carreño),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Rancho San Francisco,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Rancho Santa Ana (Rancho del Médico Arbieyga),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Rancho Sigifredo Morales Uno,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Rancho Vicente Piña,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,San Isidro,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,San José Ejido (San José),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,San Rafael los Liros (Rancho Jesús López),as,as,as,sin datos ,sin datos 
