Lengua,Estado,Municipio,Localidad,HLI,Hombres,Mujeres,Latitud ,Longitud,Loc
náhuatl,Puebla,Chilchotla,acocomotla,,,,,,Acocomotla
náhuatl,Puebla,Chignahuapan,acoculco (alamedilla),,,,,,Acoculco (Alamedilla)
náhuatl,Puebla,Ixtacamaxtitlán,acoculco (alcaparra),,,,,,Acoculco (Alcaparra)
náhuatl,Puebla,Chignahuapan,acolihuia,,,,,,Acolihuia
náhuatl,México,Acolman,acolman de nezahualcoyotl,,,,,,Acolman de Nezahualcóyotl
náhuatl,Hidalgo,Xochiatipan,acomul,,,,,,Acomul
náhuatl,Tlaxcala,San Pablo del Monte,acopilco,,,,,,Acopilco
náhuatl,Guerrero,Chilapa de Álvarez,acostapachtlan,,,,,,Acostapachtlán
náhuatl,Hidalgo,Tepehuacán de Guerrero,acoxcatlan,,,,,,Acoxcatlán
náhuatl,Veracruz De Ignacio De La Llave,Zongolica,acoxcontitla,,,,,,Acoxcontitla
náhuatl,Veracruz De Ignacio De La Llave,Zontecomatlán de López y Fuentes,acoxcontitla,,,,,,Acoxcontitla
náhuatl,Hidalgo,Huejutla de Reyes,acoyotipa,,,,,,Acoyotipa
náhuatl,Hidalgo,Tepehuacán de Guerrero,acoyotla,,,,,,Acoyotla
náhuatl,Puebla,Acteopan,acteopan,,,,,,Acteopan
náhuatl,Puebla,Zaragoza,acuaco,,,,,,Acuaco
náhuatl,Hidalgo,Huejutla de Reyes,acuapa,,,,,,Acuapa
náhuatl,Hidalgo,Tlanchinol,acuapa,,,,,,Acuapa
náhuatl,Veracruz De Ignacio De La Llave,Soledad Atzompa,acuapa,,,,,,Acuapa
náhuatl,Veracruz De Ignacio De La Llave,Zongolica,acuapa,,,,,,Acuapa
náhuatl,San Luis Potosí,Tamazunchale,acuapich (pixteyo),,,,,,Acuapich (Pixteyo)
náhuatl,San Luis Potosí,Tancanhuitz,acuapichco,,,,,,Acuapichco
náhuatl,Hidalgo,Huejutla de Reyes,acuatempa,,,,,,Acuatempa
náhuatl,Veracruz De Ignacio De La Llave,Zongolica,acuatitla,,,,,,Acuatitla
náhuatl,Hidalgo,Chapulhuacán,acuatla,,,,,,Acuatla
náhuatl,Veracruz De Ignacio De La Llave,Astacinga,acuayucan,,,,,,Acuayucan
náhuatl,Guerrero,Chilapa de Álvarez,acuentla,,,,,,Acuentla
náhuatl,Guerrero,Chilapa de Álvarez,acueponalco,,,,,,Acueponalco
náhuatl,Hidalgo,Tepehuacán de Guerrero,acuimantla,,,,,,Acuimantla
náhuatl,Puebla,Huitzilán de Serdán,acuitapilco,,,,,,Acuitapilco
náhuatl,Hidalgo,Huejutla de Reyes,acuitatipa,,,,,,Acuitatipa
náhuatl,Guerrero,Taxco de Alarcón,acuitlapan,,,,,,Acuitlapán
náhuatl,San Luis Potosí,Tancanhuitz,acuitlatipa,,,,,,Acuitlatipa
náhuatl,Veracruz De Ignacio De La Llave,Soledad Atzompa,acultzinapa,,,,,,Acultzinapa
náhuatl,Veracruz De Ignacio De La Llave,Atlahuilco,acultzinapa (san miguelito),,,,,,Acultzinapa (San Miguelito)
náhuatl,Puebla,San José Miahuatlán,acultzingo,,,,,,Acultzingo
náhuatl,Veracruz De Ignacio De La Llave,Acultzingo,acultzingo,,,,,,Acultzingo
náhuatl,Veracruz De Ignacio De La Llave,Benito Juárez,acxitla,,,,,,Acxitla
náhuatl,Veracruz De Ignacio De La Llave,Chicontepec,adalberto tejeda,,,,,,Adalberto Tejeda
náhuatl,San Luis Potosí,Ciudad Valles,adolfo lopez mateos,,,,,,Adolfo López Mateos
náhuatl,Veracruz De Ignacio De La Llave,Chicontepec,adolfo lopez mateos,,,,,,Adolfo López Mateos
náhuatl,Veracruz De Ignacio De La Llave,Tehuipango,adolfo lopez mateos,,,,,,Adolfo López Mateos
náhuatl,Veracruz De Ignacio De La Llave,Tezonapa,adolfo lopez mateos,,,,,,Adolfo López Mateos
